sn,youtube_ID,date,title,speaker,affiliation,event,host
1,OnlBQlqFF_w,2023-03-21,難民故事：權利、自由與尊嚴,王智明,歐美研究所副研究員,中研院112年知識饗宴—王世杰院長科普講座,黃進興副院長
2,gwzoDYFH5mQ,2023-02-01,「多義性」與如何現代 ─二十世紀初漢字轉型的思考,鄭毓瑜,院士,錢故校長思亮先生115歲誕辰紀念學術講座,臺灣大學陳文章校長
3,LHNV4wuCF-w,2022-12-13,歷史學與犯罪學的相遇：19世紀中葉竊盜犯罪的分析,巫仁恕,近代史研究所研究員,111年中央研究院知識饗宴—胡適院長科普講座,黃進興副院長
4,psDumxD77Tg,2023-01-10,啟動地震光世代──當光纖深入斷層帶監測,馬國鳳,地球科學研究所特聘研究員,2023年知識饗宴—蔡元培院長科普講座,周美吟副院長
5,ygTlhF_LQeo,2022-09-06,從數學到醫學—醫學教育之我思、我見與我行,梁賡義,院士,111年中央研究院知識饗宴—吳大猷院長科普講座,劉扶東副院長
6,So1Sij8HwB0,2022-11-22,量子到古典物理中湧現的新穎群體行為,李定國,院士,111年知識饗宴—朱家驊院長科普講座,周美吟副院長
7,0ged4lO_wdM,2022-09-27,從防癌到長壽：解鎖共同機制,劉昉,院士,111年中央研究院知識饗宴—錢思亮院長科普講座,劉扶東副院長
8,hwrEPBauKgw,2022-03-22,中式旋轉餐檯的誕生：傳染病、身體史、與身份認同,雷祥麟,近代史研究所研究員,111年中央研究院知識饗宴—王世杰院長科普講座,曾國祥處長
9,n_E0mVvcvsI,2021-12-22,鯨豚擱淺：中國歷史上的例子,邱仲麟,歷史語言研究所研究員,110年知識饗宴—胡適院長科普講座,黃進興副院長
10,kjweZK0d_4s,2019-08-27,臺灣青少年轉大人的社會脈絡與成長歷程,伊慶春,社會學研究所特聘研究員,108年8月份科普講座,N/A
11,_r-6fgbz0zs,2019-10-29,打造天文學家的火眼金睛-尖端天文儀器的開發,王祥宇,天文及天文物理研究所研究員,108年10月份科普講座,吳重禮處長
12,oIoIgCPkHv4,2019-11-26,探索植物有性生殖之奧祕,趙光裕,植物暨微生物學研究所研究員,108年11月份科普講座,劉扶東副院長
13,pFdP1dTdoyI,2019-04-30-2,銀髮活力吃出來Part 2,潘文涵,生物醫學科學研究所特聘研究員,108 年 4 月知識饗宴,N/A
14,-60oUpwC0Pc,2019-04-30-1,銀髮活力吃出來Part 1,潘文涵,生物醫學科學研究所特聘研究員,108 年 4 月知識饗宴,N/A
15,lhxWE6b0Cpo,2017-01-10,自然語言理解－人工智慧的最終關卡,許聞廉,資訊科學研究所特聘研究員,106年1月知識饗宴,周美吟副院長
